房源信息,价格,链接,地址,面积,朝向,规格,楼层,品牌,发布时间,亮点
整租·莘松二村 2室1厅 南,4300元/月,/zufang/SH2318121349807349760.html,闵行-莘庄-莘松二村,48㎡,南,2室1厅1卫,高楼层                        （5层）,贝壳优选,1个月前发布,精装随时看房
整租·龙柏二村 2室1厅 南,5800元/月,/zufang/SH2315673051850874880.html,闵行-龙柏-龙柏二村,54㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,精装随时看房
整租·寿祥坊 2室1厅 南,4900元/月,/zufang/SH2341941152422297600.html,徐汇-康健-寿祥坊,55㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,今天发布,新上随时看房
整租·虹桥河滨花园 3室2厅 南,14500元/月,/zufang/SH2336221266065244160.html,长宁-中山公园-虹桥河滨花园,153㎡,南,3室2厅2卫,低楼层                        （31层）,贝壳优选,8天前发布,精装双卫生间随时看房
整租·杉林新月环林东路799弄 3室2厅 南/北,6800元/月,/zufang/SH2335547471285198848.html,浦东-三林-杉林新月环林东路799弄,93㎡,南 北,3室2厅1卫,高楼层                        （6层）,贝壳优选,9天前发布,近地铁精装随时看房
整租·莘松八村 2室1厅 南,4200元/月,/zufang/SH2321532325852356608.html,闵行-莘庄-莘松八村,62㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,28天前发布,随时看房
整租·象屿品城 2室2厅 南,4888元/月,/zufang/SH2325819341075128320.html,松江-九亭-象屿品城,82㎡,南,2室2厅1卫,中楼层                        （11层）,贝壳优选,17天前发布,精装随时看房
整租·鑫国家园 3室2厅 西南,14800元/月,/zufang/SH2334795582348476416.html,徐汇-徐家汇-鑫国家园,155㎡,西南,3室2厅2卫,中楼层                        （19层）,贝壳优选,10天前发布,近地铁精装双卫生间随时看房
整租·田林七村 1室0厅 南,4550元/月,/zufang/SH2341858300422782976.html,徐汇-田林-田林七村,34㎡,南,1室0厅1卫,高楼层                        （6层）,贝壳优选,今天发布,近地铁新上随时看房
整租·紫薇园 1室1厅 南,5400元/月,/zufang/SH2342006974482759680.html,徐汇-康健-紫薇园,71㎡,南,1室1厅1卫,低楼层                        （18层）,贝壳优选,今天发布,新上随时看房
整租·永新花苑 2室2厅 南,13888元/月,/zufang/SH2298567973617025024.html,徐汇-徐家汇-永新花苑,110㎡,南,2室2厅2卫,中楼层                        （34层）,贝壳优选,1个月前发布,近地铁精装双卫生间随时看房
整租·常兴家园 2室1厅 南,4500元/月,/zufang/SH2327520558671478784.html,闵行-春申-常兴家园,65㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,20天前发布,精装随时看房
整租·荣盛名邸(公寓) 2室1厅 南,4290元/月,/zufang/SH2333908463236677632.html,松江-莘闵别墅-荣盛名邸(公寓),87㎡,南,2室1厅1卫,高楼层                        （18层）,贝壳优选,9天前发布,随时看房
整租·团结花苑 2室2厅 南,5300元/月,/zufang/SH2315905539051364352.html,闵行-莘庄-团结花苑,81㎡,南,2室2厅1卫,中楼层                        （7层）,贝壳优选,1个月前发布,精装随时看房
整租·龙柏三村 2室1厅 南/北,6500元/月,/zufang/SH2321034880399441920.html,闵行-龙柏-龙柏三村,62㎡,南 北,2室1厅1卫,高楼层                        （6层）,贝壳优选,29天前发布,近地铁精装随时看房
整租·南极苑 3室1厅 南,6500元/月,/zufang/SH2325924168467480576.html,浦东-金桥-南极苑,77㎡,南,3室1厅1卫,低楼层                        （6层）,贝壳优选,19天前发布,随时看房
整租·名仕世家花苑 2室2厅 南,5350元/月,/zufang/SH2318112140760203264.html,闵行-颛桥-名仕世家花苑,89㎡,南,2室2厅1卫,中楼层                        （6层）,贝壳优选,1个月前发布,随时看房
整租·中梅苑 2室2厅 南,6800元/月,/zufang/SH2321470153919315968.html,闵行-梅陇-中梅苑,106㎡,南,2室2厅1卫,中楼层                        （24层）,贝壳优选,28天前发布,随时看房
整租·钦州路111弄 2室0厅 南,4600元/月,/zufang/SH2341859415453605888.html,徐汇-康健-钦州路111弄,46㎡,南,2室0厅1卫,高楼层                        （6层）,贝壳优选,今天发布,近地铁新上随时看房
整租·罗阳三村 2室1厅 南,4800元/月,/zufang/SH2314388672524320768.html,闵行-梅陇-罗阳三村,68㎡,南,2室1厅1卫,高楼层                        （6层）,贝壳优选,1个月前发布,精装随时看房
